Wall time,Step,Value
1651761663.2536755,0,-10.394942283630371
1651761683.0288072,100,-8.008101463317871
1651761701.33601,200,-5.814589500427246
1651761719.5922024,300,-5.28387451171875
1651761737.795944,400,-7.458531379699707
1651761756.1099818,500,-6.822264671325684
1651761774.3811336,600,-7.796855449676514
1651761793.4700983,700,-3.540006637573242
1651761811.8858643,800,0.7888849377632141
1651761830.162557,900,-6.085351943969727
1651761848.6251965,1000,1.5266133546829224
1651761867.564562,1100,-5.2260260581970215
1651761886.219687,1200,0.7597165107727051
1651761905.3944232,1300,0.1365678757429123
1651761924.414573,1400,-4.346194744110107
1651761943.0716925,1500,-1.0204893350601196
1651761961.8365245,1600,-3.236726999282837
1651761980.643245,1700,-4.848455905914307
1651761999.3163226,1800,-4.499642372131348
1651762018.1331062,1900,-4.1742777824401855
1651762036.978745,2000,-2.420891761779785
1651762055.9074414,2100,-5.461814880371094
1651762074.7700121,2200,4.137246131896973
1651762093.7726817,2300,-0.43974635004997253
1651762119.1914313,2400,3.1969547271728516
1651762140.6061778,2500,0.4999803602695465
1651762161.3307703,2600,-0.18265792727470398
1651762179.8961356,2700,1.5687693357467651
1651762198.3528726,2800,-2.1589255332946777
1651762216.9681041,2900,-2.232867956161499
1651762235.6601312,3000,-0.7858859300613403
1651762254.330216,3100,1.0309934616088867
1651762273.111005,3200,4.11082124710083
1651762292.2767148,3300,0.07351745665073395
1651762311.3393598,3400,-0.17981374263763428
1651762330.653722,3500,-0.05053112655878067
1651762349.9903011,3600,-0.13201074302196503
1651762368.9588888,3700,-0.2551875114440918
1651762387.852587,3800,4.526241779327393
1651762406.696778,3900,3.394580841064453
1651762425.4374757,4000,1.1989519596099854
1651762444.1790361,4100,2.5081076622009277
1651762463.5022798,4200,7.216966152191162
1651762482.4845946,4300,3.309293270111084
1651762501.2828405,4400,6.6360955238342285
1651762520.1564684,4500,7.135358810424805
1651762539.0620363,4600,8.191693305969238
1651762557.94555,4700,2.953962564468384
1651762576.9212124,4800,4.048313617706299
1651762595.8914902,4900,0.6806886196136475
1651762614.9230888,5000,4.254323959350586
1651762634.074012,5100,5.9037652015686035
1651762653.171286,5200,7.0819244384765625
1651762672.42756,5300,4.556272029876709
1651762691.8513236,5400,5.520212650299072
1651762711.4025023,5500,4.572215557098389
1651762731.0223053,5600,4.494950771331787
1651762750.6630287,5700,3.952324151992798
1651762770.432641,5800,4.968174457550049
1651762790.1988184,5900,6.005502223968506
1651762809.9661493,6000,6.764713764190674
1651762830.1004152,6100,4.286506175994873
1651762850.209867,6200,5.095593452453613
1651762870.2683504,6300,5.3146796226501465
1651762890.523798,6400,6.6191253662109375
1651762910.741267,6500,8.856050491333008
1651762930.949823,6600,7.677870750427246
1651762951.2307453,6700,8.581795692443848
1651762971.501194,6800,8.171403884887695
1651762991.732298,6900,4.958533763885498
1651763012.08227,7000,8.002418518066406
1651763032.617744,7100,8.661144256591797
1651763053.1392908,7200,6.026480197906494
1651763073.969618,7300,1.9074041843414307
1651763094.5920634,7400,7.3987579345703125
1651763115.1193798,7500,8.377594947814941
1651763135.8514416,7600,3.419239044189453
1651763156.4857466,7700,8.835237503051758
1651763177.1178567,7800,7.8301286697387695
1651763197.8858507,7900,9.622413635253906
1651763218.8568325,8000,7.554497718811035
1651763239.8374414,8100,6.130161762237549
1651763260.670881,8200,6.09821891784668
1651763281.543098,8300,6.710330486297607
1651763302.4771163,8400,8.238544464111328
1651763323.540945,8500,9.697779655456543
1651763344.7006955,8600,9.630203247070312
1651763365.6798797,8700,7.96547269821167
1651763386.8644109,8800,9.140780448913574
1651763408.1780264,8900,6.8571085929870605
1651763429.4364996,9000,8.5228271484375
1651763450.657874,9100,7.267066955566406
1651763471.9649453,9200,8.188008308410645
1651763493.4726026,9300,8.621047019958496
1651763515.0617058,9400,7.93491268157959
1651763536.5562406,9500,9.534845352172852
1651763558.3806145,9600,9.125523567199707
1651763580.0807354,9700,7.875833034515381
1651763601.680597,9800,8.068319320678711
1651763623.3484783,9900,8.829794883728027
1651763645.0034807,10000,8.812161445617676
1651763666.7714007,10100,9.1679105758667
1651763688.7093985,10200,8.91907024383545
1651763710.461869,10300,8.847535133361816
1651763732.1688454,10400,7.32259464263916
1651763753.9778945,10500,7.801383018493652
1651763775.9306192,10600,8.937532424926758
1651763797.9101021,10700,7.750960826873779
1651763819.9271688,10800,8.499939918518066
1651763841.952909,10900,7.788066864013672
1651763863.948668,11000,7.790165424346924
1651763886.1703308,11100,7.429375171661377
1651763908.429351,11200,9.37387466430664
1651763930.5334632,11300,8.623143196105957
1651763953.0100179,11400,7.209436416625977
1651763975.4284444,11500,8.571795463562012
1651763997.690554,11600,8.725783348083496
1651764020.112783,11700,7.899065017700195
1651764042.6388142,11800,8.23417854309082
1651764065.1632605,11900,8.141674995422363
1651764087.8025277,12000,8.875435829162598
1651764110.460986,12100,7.884456157684326
1651764133.0908706,12200,9.294072151184082
1651764155.9983518,12300,8.086153030395508
1651764178.9989564,12400,7.56190824508667
1651764201.9559135,12500,7.93803596496582
1651764225.0385633,12600,7.867103576660156
1651764248.072991,12700,8.930606842041016
1651764271.2350204,12800,8.571574211120605
1651764294.3906147,12900,8.63204288482666
1651764317.6235235,13000,8.63502311706543
1651764340.9831827,13100,8.462882995605469
1651764364.662403,13200,6.617057800292969
1651764388.1306732,13300,7.880125045776367
1651764411.6184697,13400,7.033153057098389
1651764435.2835612,13500,7.623566150665283
1651764458.8678064,13600,8.418146133422852
1651764482.4798715,13700,7.617564678192139
1651764506.2409916,13800,7.6980061531066895
1651764530.0395365,13900,9.859416007995605
1651764553.7869434,14000,7.981394290924072
1651764577.7897277,14100,7.838730812072754
1651764601.7744575,14200,7.513463973999023
1651764625.7349463,14300,8.319515228271484
1651764649.8180404,14400,7.797735214233398
1651764673.8228698,14500,7.38327169418335
1651764697.9537494,14600,7.244105815887451
1651764722.1611404,14700,6.375514984130859
1651764746.282325,14800,7.432998180389404
1651764770.471634,14900,8.069132804870605
1651764794.7797794,15000,8.958584785461426
1651764819.1988108,15100,7.840908050537109
1651764843.641338,15200,8.126923561096191
1651764868.1827216,15300,6.620347023010254
1651764892.8229764,15400,9.028216361999512
1651764917.2840202,15500,8.265974998474121
1651764941.888273,15600,8.535021781921387
1651764966.4696789,15700,7.40466833114624
1651764990.9891882,15800,7.068478584289551
1651765015.642096,15900,9.540032386779785
1651765040.4086807,16000,8.418614387512207
1651765065.2103736,16100,9.23863697052002
1651765090.236486,16200,8.556774139404297
1651765115.261525,16300,9.098258018493652
1651765140.0246527,16400,5.372350215911865
1651765165.248975,16500,9.386480331420898
1651765190.4026456,16600,7.371298789978027
1651765215.7141557,16700,7.6901750564575195
1651765240.9886804,16800,7.2511701583862305
1651765266.2519941,16900,8.332771301269531
1651765291.4806728,17000,8.868441581726074
1651765317.055115,17100,7.747994899749756
1651765342.303656,17200,9.579141616821289
1651765367.6598346,17300,6.842278003692627
1651765393.065365,17400,6.631449222564697
1651765418.7666528,17500,7.973169326782227
1651765444.3805146,17600,8.47109317779541
1651765470.1483946,17700,8.94608211517334
1651765495.847035,17800,10.091788291931152
1651765521.6004217,17900,8.872612953186035
1651765547.358605,18000,9.460610389709473
1651765573.1929615,18100,8.75792407989502
1651765598.9732888,18200,8.131036758422852
1651765624.7626486,18300,9.103499412536621
1651765650.602242,18400,10.78098201751709
1651765676.6121926,18500,8.58803653717041
1651765702.5418525,18600,8.23729419708252
1651765728.567648,18700,9.319064140319824
1651765754.7350016,18800,7.83305549621582
1651765780.965905,18900,9.744367599487305
1651765807.1078515,19000,8.487176895141602
1651765833.3667495,19100,9.020797729492188
1651765859.595558,19200,7.44756555557251
1651765885.818451,19300,9.7604341506958
1651765912.061829,19400,8.331531524658203
1651765938.4016542,19500,7.638564109802246
1651765964.9212892,19600,8.873641014099121
1651765991.307099,19700,9.311155319213867
1651766018.085983,19800,9.922388076782227
1651766044.632523,19900,11.80335807800293
1651766071.3684344,20000,9.560098648071289
1651766097.8347495,20100,7.822641372680664
1651766124.2828186,20200,9.147642135620117
1651766150.7908213,20300,9.222479820251465
1651766177.3241086,20400,7.489748001098633
1651766204.02643,20500,8.267950057983398
1651766230.7196748,20600,9.04155158996582
1651766257.3447235,20700,11.434028625488281
1651766284.0732644,20800,8.418078422546387
1651766310.646406,20900,9.134079933166504
1651766337.457089,21000,8.061219215393066
1651766364.213042,21100,6.334031105041504
1651766391.0104835,21200,9.159271240234375
1651766417.6284952,21300,9.883612632751465
1651766444.3875394,21400,9.624564170837402
1651766471.038533,21500,10.391800880432129
1651766497.6255605,21600,8.974578857421875
1651766524.1217227,21700,10.545734405517578
1651766550.8469656,21800,6.9691643714904785
1651766577.5307434,21900,8.255976676940918
1651766604.1307242,22000,7.2716755867004395
1651766630.9776745,22100,8.35644817352295
1651766657.8934538,22200,7.7975969314575195
1651766684.6615117,22300,10.260209083557129
1651766711.177352,22400,8.849532127380371
1651766737.7818222,22500,9.89030933380127
1651766764.336899,22600,10.87031364440918
1651766790.9244416,22700,8.23019027709961
1651766817.4907782,22800,9.761577606201172
1651766844.1100848,22900,8.4266357421875
1651766870.7438788,23000,9.17518138885498
1651766897.3693054,23100,8.885194778442383
1651766923.9651172,23200,8.075116157531738
1651766950.5274487,23300,8.140429496765137
1651766977.4512029,23400,10.44921875
1651767004.1071827,23500,8.775336265563965
1651767030.8107827,23600,9.179736137390137
1651767057.4737751,23700,8.351896286010742
1651767084.1368744,23800,9.51743221282959
1651767110.982543,23900,7.853794574737549
1651767137.684914,24000,8.290240287780762
1651767164.341243,24100,8.575034141540527
1651767190.9581218,24200,9.26694107055664
1651767217.5756466,24300,8.139891624450684
1651767244.300507,24400,9.887792587280273
1651767271.2727418,24500,10.830724716186523
1651767298.2511866,24600,10.618439674377441
1651767324.9970143,24700,9.966079711914062
1651767351.7939053,24800,11.037277221679688
1651767378.3499079,24900,8.773691177368164
1651767405.035235,25000,8.721489906311035
1651767431.8119423,25100,8.786922454833984
1651767458.5706913,25200,10.041528701782227
1651767485.3327944,25300,10.269388198852539
1651767511.8854554,25400,9.079432487487793
1651767538.539538,25500,7.66629695892334
1651767565.2902184,25600,8.861494064331055
1651767591.8731482,25700,10.478376388549805
1651767618.561984,25800,7.765095233917236
1651767645.165636,25900,7.233527183532715
1651767671.671772,26000,8.882266998291016
1651767698.0857363,26100,9.433350563049316
1651767724.7267013,26200,7.70696496963501
1651767751.222972,26300,8.622075080871582
1651767777.8493617,26400,8.125127792358398
1651767804.4849896,26500,8.218441009521484
1651767831.099028,26600,8.521761894226074
1651767858.0141954,26700,8.684310913085938
1651767884.978705,26800,9.552912712097168
1651767911.4692543,26900,8.320882797241211
1651767938.1010532,27000,7.782946586608887
1651767964.749806,27100,7.762447834014893
1651767991.2796252,27200,8.838436126708984
1651768017.972831,27300,10.022798538208008
1651768044.5947871,27400,8.763174057006836
1651768071.223131,27500,8.682631492614746
1651768097.9351118,27600,9.552495002746582
1651768124.6617541,27700,7.001965522766113
1651768151.3113413,27800,9.14348316192627
1651768178.0322952,27900,9.020721435546875
1651768204.9185245,28000,11.033367156982422
1651768231.4201658,28100,8.588920593261719
1651768258.1209507,28200,9.419839859008789
1651768284.9306319,28300,7.916128635406494
1651768311.7577426,28400,7.665736198425293
1651768338.3666008,28500,9.560906410217285
1651768365.1004705,28600,7.897367477416992
1651768391.8026357,28700,8.963643074035645
1651768418.476151,28800,8.310620307922363
1651768445.2366061,28900,8.836719512939453
1651768472.1103556,29000,7.890557765960693
1651768498.7879107,29100,7.907693386077881
1651768525.639642,29200,8.741728782653809
1651768552.2624714,29300,8.54199504852295
1651768578.7550743,29400,8.671013832092285
1651768605.2743814,29500,10.421568870544434
1651768631.7837396,29600,8.989675521850586
1651768658.3730555,29700,8.6597900390625
1651768684.9268467,29800,8.59765911102295
1651768711.5253034,29900,8.959129333496094
1651768738.1502144,30000,8.055627822875977
1651768764.949597,30100,9.149312973022461
1651768791.5528884,30200,9.865229606628418
1651768818.1548538,30300,8.950965881347656
1651768844.7531555,30400,8.757165908813477
1651768871.4166062,30500,8.637113571166992
1651768898.1152256,30600,8.450519561767578
1651768924.8000236,30700,6.483272552490234
1651768951.5139844,30800,7.9078755378723145
1651768978.1128929,30900,9.496258735656738
1651769004.744693,31000,6.609769344329834
1651769031.300441,31100,6.444413661956787
1651769057.9422433,31200,6.5373687744140625
1651769084.7332003,31300,9.765494346618652
1651769111.4972184,31400,8.295071601867676
1651769138.1861088,31500,9.589980125427246
1651769164.8518412,31600,10.00675106048584
1651769191.4186013,31700,9.290311813354492
1651769217.996262,31800,9.47014045715332
1651769244.7363856,31900,8.32568359375
1651769271.5941026,32000,7.6202850341796875
