Wall time,Step,Value
1663601836.1043859,0,3.6710574626922607
1663601869.0133953,100,-13.599456787109375
1663601902.4476528,200,-15.600666046142578
1663601940.3157423,300,-13.670711517333984
1663601975.1534388,400,-14.061655044555664
1663602008.145945,500,-13.644745826721191
1663602041.225759,600,-13.042624473571777
1663602077.7388237,700,-11.457635879516602
1663602112.36613,800,-11.850320816040039
1663602147.3955789,900,-11.843401908874512
1663602183.4835494,1000,-11.410415649414062
1663602219.2346895,1100,-13.269143104553223
1663602254.5614095,1200,-12.488104820251465
1663602288.9573038,1300,-12.157394409179688
1663602322.584519,1400,-8.390460014343262
1663602355.4913259,1500,-11.81985855102539
1663602388.2083545,1600,-10.603779792785645
1663602420.5506775,1700,-10.848097801208496
1663602452.8938565,1800,-12.1433744430542
1663602485.1298904,1900,-10.958534240722656
1663602517.4412878,2000,-10.934897422790527
1663602549.7728913,2100,-11.64904499053955
1663602582.1089776,2200,-11.538505554199219
1663602614.4995306,2300,-10.99636173248291
1663602646.9586358,2400,-11.594436645507812
1663602679.2995138,2500,-11.25648021697998
1663602711.7222362,2600,-11.28901195526123
1663602744.1993518,2700,-10.979981422424316
1663602776.7802484,2800,-11.41427993774414
1663602809.262,2900,-11.208758354187012
1663602842.0271716,3000,-11.323205947875977
1663602874.674993,3100,-12.151517868041992
1663602907.5047975,3200,-11.567350387573242
1663602940.327327,3300,-10.254331588745117
1663602973.2472563,3400,-9.990689277648926
1663603006.18917,3500,-10.327882766723633
1663603039.1874459,3600,-10.36650276184082
1663603072.2400715,3700,-9.772244453430176
1663603105.4490266,3800,-9.619793891906738
1663603138.662521,3900,-9.270647048950195
1663603172.0365467,4000,-6.744022846221924
1663603205.691209,4100,-5.648079872131348
1663603239.243672,4200,-8.133249282836914
1663603272.8017132,4300,-5.601742267608643
1663603306.4883485,4400,-8.43239974975586
1663603340.1839669,4500,-3.5486092567443848
1663603373.9890435,4600,-3.57059645652771
1663603407.9374268,4700,3.3135340213775635
1663603442.0961385,4800,5.107091903686523
1663603476.3080986,4900,-1.5756925344467163
1663603510.3692906,5000,-4.867218494415283
1663603544.4268644,5100,1.8939878940582275
1663603578.6669815,5200,6.882280349731445
1663603613.0844333,5300,6.459104061126709
1663603647.480697,5400,9.652460098266602
1663603682.0775337,5500,7.899463653564453
1663603716.6203027,5600,7.742033958435059
1663603751.3153036,5700,8.740096092224121
1663603786.1717014,5800,8.76327896118164
1663603820.9320133,5900,9.427899360656738
1663603855.6531873,6000,8.695117950439453
1663603890.5158534,6100,9.086328506469727
1663603925.3259876,6200,7.89801025390625
1663603960.302101,6300,8.228456497192383
1663603995.1880653,6400,8.222565650939941
1663604030.2613962,6500,8.720200538635254
1663604065.3127975,6600,8.060157775878906
1663604100.5746121,6700,7.628224849700928
1663604135.8542957,6800,7.7749810218811035
1663604171.1371455,6900,7.857624530792236
1663604206.4848547,7000,7.2765045166015625
1663604241.8447058,7100,8.428374290466309
1663604277.2390077,7200,6.985347747802734
1663604312.648815,7300,8.239324569702148
1663604348.2293603,7400,7.4183197021484375
1663604384.0118563,7500,8.129481315612793
1663604419.6577125,7600,7.800638198852539
1663604455.2861924,7700,7.694967746734619
1663604490.7904131,7800,8.717617988586426
1663604526.3626513,7900,7.617629051208496
1663604561.936832,8000,8.023722648620605
1663604597.5665724,8100,8.655500411987305
1663604633.3882244,8200,8.745626449584961
1663604668.9794824,8300,7.616769790649414
1663604704.8873506,8400,7.9103102684021
1663604740.869168,8500,9.50429630279541
1663604776.6890697,8600,8.853103637695312
1663604812.6416786,8700,8.344013214111328
1663604848.5107715,8800,8.270699501037598
1663604884.2785091,8900,8.75175952911377
1663604920.1604772,9000,9.479208946228027
1663604956.156005,9100,9.09024429321289
1663604992.0531611,9200,9.074287414550781
1663605028.056658,9300,8.887124061584473
1663605064.0299125,9400,9.935046195983887
1663605100.0464728,9500,8.793120384216309
1663605136.2241218,9600,8.493453025817871
1663605172.349893,9700,8.749916076660156
1663605208.5102725,9800,8.633376121520996
1663605244.9573295,9900,8.443289756774902
1663605281.2376149,10000,9.513768196105957
1663605317.8183215,10100,8.594879150390625
1663605354.356522,10200,8.731837272644043
1663605390.822802,10300,9.69849967956543
1663605427.2646995,10400,8.34370231628418
1663605463.7882142,10500,7.548771381378174
1663605500.3267746,10600,9.035332679748535
1663605537.0368292,10700,9.46141242980957
1663605573.6794722,10800,8.255206108093262
1663605610.5989017,10900,8.996984481811523
1663605647.3626332,11000,9.118095397949219
1663605684.2187812,11100,9.359640121459961
1663605721.2255402,11200,9.660857200622559
1663605758.1526334,11300,9.452901840209961
1663605795.344124,11400,7.884119510650635
1663605832.341179,11500,10.168376922607422
1663605869.585928,11600,9.700145721435547
1663605906.7228038,11700,8.414556503295898
1663605944.061642,11800,9.916284561157227
1663605981.3454733,11900,8.709195137023926
1663606018.8185263,12000,9.377689361572266
1663606056.2210405,12100,8.454178810119629
1663606093.8246276,12200,9.458642959594727
1663606131.3919766,12300,10.359158515930176
1663606169.1856554,12400,9.730975151062012
1663606206.8574018,12500,9.952437400817871
1663606244.5283616,12600,10.086627960205078
1663606282.0660229,12700,10.053659439086914
