Wall time,Step,Value
1651672940.6577945,0,-17.031614303588867
1651672959.1972282,100,-8.118367195129395
1651672976.0964088,200,-8.709428787231445
1651672992.9924479,300,-8.257500648498535
1651673010.9201808,400,-9.595788955688477
1651673027.7861116,500,-7.4318060874938965
1651673044.533008,600,-8.020307540893555
1651673061.5585077,700,-9.176056861877441
1651673079.080041,800,-6.884662628173828
1651673096.0194457,900,-7.775984287261963
1651673113.0224512,1000,-7.7112250328063965
1651673130.4975696,1100,-6.818706512451172
1651673147.589257,1200,-5.864193916320801
1651673164.6860714,1300,-6.527266979217529
1651673181.8179822,1400,-8.467544555664062
1651673199.499244,1500,-7.523811340332031
1651673216.7301712,1600,-4.972921848297119
1651673234.023352,1700,-6.638281345367432
1651673252.275231,1800,-5.615726470947266
1651673269.619612,1900,-6.569003105163574
1651673287.0259469,2000,-3.04713773727417
1651673304.3547735,2100,-4.674586296081543
1651673322.6577525,2200,-4.051886081695557
1651673340.1870387,2300,-5.190759181976318
1651673357.726733,2400,-1.1068884134292603
1651673375.5151756,2500,1.6695911884307861
1651673393.2945354,2600,-6.618114948272705
1651673411.1321151,2700,-3.915393352508545
1651673428.8694308,2800,-6.030823707580566
1651673447.3113348,2900,-7.280654430389404
1651673466.138998,3000,-6.810825824737549
1651673483.920507,3100,-6.604400634765625
1651673503.0378122,3200,-7.665863990783691
1651673520.8822482,3300,-8.337892532348633
1651673538.8449745,3400,-8.022454261779785
1651673556.87307,3500,-4.37858772277832
1651673575.3193803,3600,-7.114019870758057
1651673593.453379,3700,-4.780391216278076
1651673611.5501537,3800,-7.881528377532959
1651673630.214637,3900,-7.520480632781982
1651673648.4455888,4000,-6.076295375823975
1651673666.6782382,4100,-7.179600238800049
1651673684.999544,4200,-7.399471759796143
1651673703.751458,4300,-7.199954986572266
1651673722.158665,4400,-4.3015522956848145
1651673740.6235592,4500,-5.637643337249756
1651673759.79891,4600,0.11111996322870255
1651673778.2082448,4700,2.331698417663574
1651673796.5750306,4800,-2.807347059249878
1651673815.0122004,4900,-4.854551792144775
1651673834.3134458,5000,-2.0606985092163086
1651673852.8677838,5100,-4.599656105041504
1651673871.3865793,5200,-4.115893363952637
1651673890.549172,5300,-7.725654602050781
1651673909.4468503,5400,-6.845054626464844
1651673928.3904395,5500,-2.195466995239258
1651673947.4390836,5600,-1.6941968202590942
1651673966.9937809,5700,-5.875674724578857
1651673986.4590728,5800,-6.852038383483887
1651674005.6424685,5900,-4.683231830596924
1651674024.9300265,6000,-7.283153057098389
1651674044.554272,6100,-1.7851969003677368
1651674063.9331024,6200,-5.550851345062256
1651674083.992729,6300,-2.567573070526123
1651674104.0550923,6400,5.671810150146484
1651674124.1772957,6500,-1.7735518217086792
1651674143.9575562,6600,-4.332756042480469
1651674163.5860047,6700,-1.015541911125183
1651674183.170478,6800,-5.2758097648620605
1651674202.8657072,6900,-3.151686429977417
1651674222.6358378,7000,-4.692032814025879
1651674242.5346074,7100,-4.171391010284424
1651674262.4492996,7200,-4.541096210479736
1651674282.3826199,7300,-3.1538760662078857
1651674303.13127,7400,3.316606044769287
1651674323.2392502,7500,1.4425098896026611
1651674343.408094,7600,-5.105571746826172
1651674363.5643804,7700,3.685978651046753
1651674383.687264,7800,-7.398290157318115
1651674403.8935692,7900,-3.5296974182128906
1651674424.1323433,8000,1.2831555604934692
1651674444.4974864,8100,4.732000350952148
1651674464.8628242,8200,4.839799880981445
1651674485.1905699,8300,-4.122714042663574
1651674505.5912702,8400,3.428685426712036
1651674526.1063979,8500,-3.9966988563537598
1651674546.56169,8600,1.0195153951644897
1651674567.1329079,8700,7.253640651702881
1651674588.1967013,8800,-2.9936206340789795
1651674608.7371666,8900,5.222104549407959
1651674629.3558393,9000,3.774432420730591
1651674650.000743,9100,0.008586197160184383
1651674670.742335,9200,0.22681376338005066
1651674691.4672341,9300,4.363031387329102
1651674712.3124886,9400,1.8307665586471558
1651674733.149011,9500,2.1887378692626953
1651674754.0266573,9600,1.612210750579834
1651674774.9300213,9700,5.59605073928833
1651674795.8765547,9800,2.2003021240234375
1651674816.8666973,9900,-0.3433278203010559
1651674837.8267984,10000,4.086993217468262
1651674858.9110057,10100,3.9894516468048096
1651674881.8075821,10200,4.43754243850708
1651674903.3191235,10300,7.203564167022705
1651674924.4212794,10400,5.73418664932251
1651674945.5651257,10500,-2.480706214904785
1651674966.929534,10600,3.9168739318847656
1651674988.2917218,10700,5.007472038269043
1651675009.6420128,10800,3.8797690868377686
1651675031.0621486,10900,7.655163764953613
1651675052.4959667,11000,-1.0495445728302002
1651675074.0032845,11100,-0.3044237494468689
1651675095.5008576,11200,5.446922779083252
1651675117.8981774,11300,1.6545583009719849
1651675139.5734575,11400,4.3498735427856445
1651675161.3432715,11500,6.53035306930542
1651675184.3668473,11600,4.9075093269348145
1651675206.4881155,11700,4.829456806182861
1651675228.221668,11800,2.110816717147827
1651675250.077682,11900,3.522312641143799
1651675272.4719384,12000,3.982260227203369
1651675294.3888595,12100,3.976041316986084
1651675316.4621162,12200,3.7071216106414795
1651675339.6987784,12300,4.087704181671143
1651675362.2491815,12400,-0.3982248604297638
1651675384.4818094,12500,4.878218650817871
1651675406.7257447,12600,1.0267902612686157
1651675429.755685,12700,-0.3497370183467865
1651675452.1091626,12800,7.392378330230713
1651675474.6290598,12900,5.101516246795654
1651675499.0385773,13000,4.555473804473877
1651675522.257829,13100,4.155132293701172
1651675544.8802147,13200,2.1407036781311035
1651675567.5455391,13300,3.633613348007202
1651675590.3852284,13400,3.1961920261383057
1651675613.2063065,13500,5.319564342498779
1651675636.1130495,13600,5.77061128616333
1651675659.6421218,13700,7.419184684753418
1651675683.2365556,13800,3.692671060562134
1651675706.1783872,13900,5.707393169403076
1651675729.1165063,14000,5.682374477386475
1651675752.9887774,14100,3.6273670196533203
1651675776.1866813,14200,3.030195713043213
1651675799.2897274,14300,4.182005405426025
1651675824.1657896,14400,5.216363906860352
1651675847.9692984,14500,1.5008883476257324
1651675871.2454033,14600,1.216225028038025
1651675894.5479205,14700,4.264430999755859
1651675918.35952,14800,6.251627445220947
1651675941.790639,14900,5.867398738861084
1651675965.2482738,15000,10.766801834106445
1651675988.7946463,15100,9.176894187927246
1651676012.367514,15200,5.107654094696045
1651676036.0667787,15300,4.314750671386719
1651676060.1825912,15400,-1.1865551471710205
1651676083.9740763,15500,4.146176338195801
1651676107.70349,15600,3.1213021278381348
1651676131.4860597,15700,7.428527355194092
1651676155.4172864,15800,3.7345824241638184
1651676179.3123648,15900,4.248355865478516
1651676203.1704826,16000,4.223248481750488
1651676227.169936,16100,4.898291110992432
1651676251.2639987,16200,3.9537346363067627
1651676275.312021,16300,2.790010929107666
1651676299.4222765,16400,3.622688055038452
1651676323.54103,16500,5.9212164878845215
1651676347.830962,16600,4.206982135772705
1651676372.2489765,16700,6.17338228225708
1651676396.584065,16800,4.755547046661377
1651676421.130331,16900,3.9295685291290283
